buller2,ind_weight,ind_month,ind_season,treatment_protocol
0,406,2021-01,Summer,Control
0,440,2021-01,Summer,AB11
0,363,2021-01,Summer,AB11
1,359,2021-01,Summer,ANA10
1,393,2021-01,Summer,AB11
0,407,2021-01,Summer,AB11
0,409,2021-01,Summer,AB11
1,419,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,416,2021-01,Summer,AB11
1,412,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
0,413,2021-01,Summer,AB11
0,368,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
1,334,2021-01,Summer,AB11
1,409,2021-01,Summer,ANA10
1,449,2021-01,Summer,ANA10
0,407,2021-01,Summer,AB11
0,387,2021-01,Summer,AB11
1,376,2021-01,Summer,ANA10
0,464,2021-01,Summer,ANA10
1,419,2021-01,Summer,ANA10
0,389,2021-01,Summer,ANA10
1,436,2021-01,Summer,ANA10
1,425,2021-01,Summer,ANA10
0,423,2021-01,Summer,AB11
1,435,2021-01,Summer,AB11
1,410,2021-01,Summer,AB11
0,442,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
0,424,2021-01,Summer,AB11
0,512,2021-01,Summer,AB11
0,407,2021-01,Summer,AB11
0,334,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
0,446,2021-01,Summer,AB11
0,423,2021-01,Summer,AB11
1,440,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
0,434,2021-01,Summer,AB11
0,442,2021-01,Summer,AB11
0,438,2021-01,Summer,AB11
0,419,2021-01,Summer,AB11
0,423,2021-01,Summer,AB11
1,434,2021-01,Summer,AB11
0,441,2021-01,Summer,AB11
0,416,2021-01,Summer,AB11
1,435,2021-01,Summer,AB11
0,409,2021-01,Summer,AB11
1,430,2021-01,Summer,AB11
1,406,2021-01,Summer,AB11
0,447,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
0,358,2021-01,Summer,AB11
0,446,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,453,2021-01,Summer,AB11
0,411,2021-01,Summer,AB11
1,406,2021-01,Summer,AB11
1,440,2021-01,Summer,ANA10
0,417,2021-01,Summer,AB11
0,441,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,455,2021-01,Summer,AB11
0,429,2021-01,Summer,AB11
0,430,2021-01,Summer,AB11
0,410,2021-01,Summer,AB11
0,355,2021-01,Summer,AB11
0,352,2021-01,Summer,AB11
0,394,2021-01,Summer,AB11
0,432,2021-01,Summer,AB11
0,402,2021-01,Summer,AB11
0,403,2021-01,Summer,AB11
0,447,2021-01,Summer,AB11
1,404,2021-01,Summer,AB11
0,332,2021-01,Summer,AB11
1,354,2021-01,Summer,AB11
0,375,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
1,347,2021-01,Summer,AB11
0,427,2021-01,Summer,AB11
1,359,2021-01,Summer,AB11
0,389,2021-01,Summer,AB11
1,342,2021-01,Summer,AB11
0,254,2021-01,Summer,AB11
0,318,2021-01,Summer,AB11
1,361,2021-01,Summer,ANA10
0,395,2021-01,Summer,AB11
1,376,2021-01,Summer,AB11
